Bug ID,Bug Fix Commit Hash,Date of Commit
PDFBOX-3755,ea0a425aaf25d527e6cce3475004a46a90a0e13b,2017-04-13T04:15:21+00:00
PDFBOX-3755,70a068e281f73fad139a23e70ff6a724aaab9f26,2017-04-13T04:13:11+00:00
PDFBOX-2424,450154f5bf0d8e6444fbd23e5ef72eedfb49e010,2014-10-12T20:00:44+00:00
PDFBOX-37,a09ab75e1bc9fcd0714ff92e8d40997192ac1955,2018-02-05T18:11:54+00:00
PDFBOX-37,abf0e7d4a1976191c466b5b2942d1ab00674ce42,2018-02-04T08:45:56+00:00
PDFBOX-37,75acd0bd02dcecb90e17a513bdb1f9326c7060e7,2018-02-04T08:44:22+00:00
PDFBOX-37,e4d9ee47c098c0575d402e4ccfcfc7c6c3901c3c,2018-02-04T08:43:47+00:00
PDFBOX-37,d32486a0bb85bd51aa08a94df3eedbb3dc909139,2018-02-04T08:43:05+00:00
PDFBOX-37,c801072b83c5e5909bc219c11532b8065a3ec519,2018-02-04T08:39:59+00:00
PDFBOX-37,fe2bc4f6e5229cc51b59192962c684c685d09f74,2018-02-04T08:37:37+00:00
PDFBOX-37,fa54837801cd669ef86f1dd99c14726edc37c965,2018-02-04T08:34:09+00:00
PDFBOX-37,5cd0a9471f59f4dd281c247b68b65f52e41f52d8,2018-02-04T03:29:45+00:00
PDFBOX-37,41b18566c334b08b95dd5b56a473a3ee64bc51f2,2018-02-03T22:46:46+00:00
PDFBOX-37,917bd8d5b5068b3dbf91bec6854c9dfd9ebdee10,2018-02-03T22:28:45+00:00
PDFBOX-37,d8ce98bb3e8170983c4545f99f461ba1218b01a0,2018-02-03T22:19:46+00:00
PDFBOX-37,9d670772f6e2b9895bf809bad09378d760f68d64,2018-02-03T22:17:07+00:00
PDFBOX-37,7defac8f8e28c7b18c524576c16ebab6adb0bd4d,2018-02-03T22:00:33+00:00
PDFBOX-37,b5e5469d322801e831671c06fccfccbdd0090352,2018-02-03T21:54:35+00:00
PDFBOX-37,359a624c6d8f3195b26171221227b40c9f5359e6,2017-11-10T18:01:26+00:00
PDFBOX-37,620ffd536cacda5ae172ca5868ce97ac85aaa673,2017-05-21T17:52:24+00:00
