Project Key,Repo,Number of Commits Analyzed,Number of Files in Last Release Analyzed,Number Files Across Releases Analyzed (num rows in metrics file),Percent of Java Files Across Releases Analyzed,Total Releases,Releases Analyzed,C/L Bugs with No AV Problems,Total C/L Bugs,Percent C/L Bugs without AV,Percent C/L Bugs with AV after Ticket Creation,Percent of C/L Bugs with a Problem
QPID,https://github.com/apache/qpid.git,38139,283,110328,0.3705949532303676,59,30,1297,2165,0.339030023,0.061893764,0.400923788
DISPATCH,https://github.com/apache/qpid-dispatch.git,2605,528,3851,0.0015580368735393405,21,11,353,485,0.224742268,0.04742268,0.272164948
QPIDJMS,https://github.com/apache/qpid-jms.git,2141,738,12837,0.8585339253719716,38,19,139,147,0.054421769,0,0.054421769
PROTON,https://github.com/apache/qpid-proton.git,4684,782,26544,0.3312989752863171,56,28,456,725,0.31862069,0.052413793,0.371034483
SM,https://github.com/apache/servicemix3.git,4091,1335,93529,0.5491344930449379,122,61,226,409,0.339853301,0.107579462,0.447432763
SLING,https://github.com/apache/sling-org-apache-sling-starter.git,1318,9,3261,0.013799448022079117,682,341,110,237,0.510548523,0.025316456,0.535864979
SOLR,https://github.com/apache/lucene-solr.git,58260,9129,274506,0.6325581225911273,86,43,1391,2855,0.455691769,0.05709282,0.512784588
SPARK,https://github.com/apache/spark.git,35955,13033,181383,0.01771389821537851,50,25,3333,5966,0.307911498,0.133422729,0.441334227
SYNCOPE,https://github.com/apache/syncope.git,9684,2096,32381,0.6035638182885025,49,25,533,599,0.060100167,0.050083472,0.110183639
TAPESTRY,https://github.com/apache/tapestry4.git,4475,4888,44688,0.4080513784461153,26,13,257,309,0.067961165,0.100323625,0.16828479
TAP5,https://github.com/apache/tapestry-5.git,6071,3287,49342,0.687933200924162,34,17,375,547,0.1023766,0.212065814,0.314442413
THRIFT,https://github.com/apache/thrift.git,5785,1096,6945,0.1566594672426206,16,8,746,1530,0.500653595,0.011764706,0.512418301
TIKA,https://github.com/apache/tika.git,5601,1140,9916,0.5411456232351755,34,17,417,615,0.284552846,0.037398374,0.32195122
TINKERPOP,https://github.com/apache/tinkerpop.git,16052,2116,16339,0.6911683701572924,20,10,215,219,0.00456621,0.01369863,0.01826484
TUSCANY,https://github.com/apache/tuscany-sca-1.x.git,38850,6360,62765,0.5829682147693779,36,18,325,767,0.481095176,0.09517601,0.576271186
WICKET,https://github.com/apache/wicket.git,33011,4777,264706,0.575759521884657,137,69,2077,2376,0.086700337,0.039141414,0.125841751
WSS,https://github.com/apache/wss4j.git,3918,981,11707,0.6058768258306996,49,25,126,242,0.429752066,0.049586777,0.479338843
XERCESC,https://github.com/apache/xerces-c.git,7078,1792,18133,0.0,26,13,190,224,0.09375,0.058035714,0.151785714
XERCESJ,https://github.com/apache/xerces2-j.git,7802,897,11269,0.7834767947466501,26,13,231,240,0.016666667,0.020833333,0.0375
ZOOKEEPER,https://github.com/apache/zookeeper.git,3559,978,14142,0.44788573044831,35,18,545,854,0.285714286,0.076112412,0.361826698
ARROW,https://github.com/apache/arrow.git,5179,1948,23314,0.1508106716994081,23,12,489,1493,0.669792364,0.002679169,0.672471534
FLEX,https://github.com/apache/flex-sdk.git,33741,52617,1165223,0.05661233944060493,46,23,255,563,0.534635879,0.012433393,0.547069272
