Key,Number of C/L Bugs w/ No Probs,Number of Releases,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
OPENJPA,612,32,878,177,0.201594533,89,0.101366743,266,0.302961276
OLINGO,161,27,231,37,0.16017316,33,0.142857143,70,0.303030303
OWB,370,48,532,116,0.218045113,46,0.086466165,162,0.304511278
DOSGI,52,14,75,23,0.306666667,0,0,23,0.306666667
NUTCH,331,31,478,100,0.209205021,47,0.09832636,147,0.307531381
TAP5,375,34,547,56,0.1023766,116,0.212065814,172,0.314442413
MCHECKSTYLE,63,23,92,29,0.315217391,0,0,29,0.315217391
ODE,214,13,315,88,0.279365079,13,0.041269841,101,0.320634921
FTPSERVER,93,15,137,42,0.306569343,2,0.01459854,44,0.321167883
MNG,620,55,914,219,0.239606127,75,0.082056893,294,0.32166302
TIKA,417,34,615,175,0.284552846,23,0.037398374,198,0.32195122
SUREFIRE,304,44,450,139,0.308888889,7,0.015555556,146,0.324444444
LANG,279,24,413,124,0.300242131,10,0.024213075,134,0.324455206
FILEUPLOAD,30,10,45,15,0.333333333,0,0,15,0.333333333
DOXIA,118,17,177,53,0.299435028,6,0.033898305,59,0.333333333
FELIX,1543,397,2317,619,0.267155805,155,0.066896849,774,0.334052654
MASSEMBLY,141,24,212,52,0.245283019,19,0.089622642,71,0.33490566
SHIRO,80,17,121,36,0.297520661,5,0.041322314,41,0.338842975
PDFBOX,1075,49,1631,180,0.110361741,376,0.230533415,556,0.340895156
MARMOTTA,106,8,161,52,0.322981366,3,0.01863354,55,0.341614907
AMQNET,104,22,158,53,0.335443038,1,0.006329114,54,0.341772152
XBEAN,65,47,99,33,0.333333333,1,0.01010101,34,0.343434343
MAHOUT,293,19,451,146,0.323725055,12,0.026607539,158,0.350332594
CONTINUUM,363,30,568,186,0.327464789,19,0.033450704,205,0.360915493
ZOOKEEPER,545,35,854,244,0.285714286,65,0.076112412,309,0.361826698
CLI,49,6,77,28,0.363636364,0,0,28,0.363636364
DERBY,1040,30,1640,207,0.126219512,393,0.239634146,600,0.365853659
XMLBEANS,57,14,90,29,0.322222222,4,0.044444444,33,0.366666667
PROTON,456,56,725,231,0.31862069,38,0.052413793,269,0.371034483
TRINIDAD,500,51,801,164,0.20474407,137,0.171036205,301,0.375780275
COLLECTIONS,99,15,159,54,0.339622642,6,0.037735849,60,0.377358491
POOL,77,28,124,40,0.322580645,7,0.056451613,47,0.379032258
MSHARED,89,126,144,51,0.354166667,4,0.027777778,55,0.381944444
MCOMPILER,43,23,70,26,0.371428571,1,0.014285714,27,0.385714286
COCOON,121,28,197,38,0.192893401,38,0.192893401,76,0.385786802
DIRSERVER,256,40,418,61,0.145933014,101,0.241626794,162,0.387559809
WINK,51,9,84,32,0.380952381,1,0.011904762,33,0.392857143
TC,26,3,43,15,0.348837209,2,0.046511628,17,0.395348837
QPID,1297,59,2165,734,0.339030023,134,0.061893764,868,0.400923788
MATH,273,16,456,178,0.390350877,5,0.010964912,183,0.401315789
DBCP,95,15,159,64,0.402515723,0,0,64,0.402515723
AVRO,360,29,608,239,0.393092105,9,0.014802632,248,0.407894737
MRELEASE,108,21,184,75,0.407608696,1,0.005434783,76,0.413043478
ARTEMIS,618,23,1057,435,0.4115421,4,0.003784295,439,0.415326395
JCRVLT,52,24,89,37,0.415730337,0,0,37,0.415730337
KARAF,751,114,1286,375,0.291601866,160,0.124416796,535,0.416018663
AXIS,244,19,418,169,0.40430622,5,0.011961722,174,0.416267943
MSITE,90,24,155,60,0.387096774,5,0.032258065,65,0.419354839
AXIOM,76,22,131,53,0.404580153,2,0.015267176,55,0.419847328
JCR,801,186,1388,525,0.378242075,62,0.044668588,587,0.422910663
IMPALA,1246,38,2189,821,0.375057104,122,0.055733212,943,0.430790315
BLUR,45,3,80,35,0.4375,0,0,35,0.4375
SPARK,3333,50,5966,1837,0.307911498,796,0.133422729,2633,0.441334227
JCS,41,9,74,30,0.405405405,3,0.040540541,33,0.445945946
DAFFODIL,82,23,148,65,0.439189189,1,0.006756757,66,0.445945946
SM,226,122,409,139,0.339853301,44,0.107579462,183,0.447432763
